def | def | 1
void | void | 1
ID | helo | 1
( | ( | 1
) | ) | 1
{ | { | 1
return | return | 2
; | ; | 2
} | } | 3
class | class | 4
ID | Abdi2k | 4
{ | { | 4
list | list | 5
ID | check | 5
[ | [ | 5
int literal | 3 | 5
] | ] | 5
[ | [ | 5
int literal | 3 | 5
] | ] | 5
= | = | 5
[ | [ | 5
[ | [ | 5
int literal | 1 | 5
, | , | 5
int literal | 2 | 5
, | , | 5
int literal | 3 | 5
] | ] | 5
, | , | 5
[ | [ | 5
int literal | 1 | 5
, | , | 5
int literal | 2 | 5
, | , | 5
int literal | 3 | 5
] | ] | 5
, | , | 5
[ | [ | 5
int literal | 1 | 5
, | , | 5
int literal | 2 | 5
, | , | 5
int literal | 3 | 5
] | ] | 5
] | ] | 5
; | ; | 5
set | set | 6
DT | int | 6
ID | checkagain | 6
[ | [ | 6
int literal | 14 | 6
] | ] | 6
= | = | 6
{ | { | 6
int literal | 1 | 6
, | , | 6
int literal | 23 | 6
, | , | 6
int literal | 4 | 6
, | , | 6
int literal | 12 | 6
, | , | 6
int literal | 34 | 6
} | } | 6
; | ; | 6
list | list | 7
ID | check1 | 7
[ | [ | 7
int literal | 3 | 7
] | ] | 7
[ | [ | 7
int literal | 3 | 7
] | ] | 7
; | ; | 7
DT | int | 8
ID | b | 8
; | ; | 8
access-modifier | private | 9
: | : | 9
DT | int | 10
ID | a | 10
; | ; | 10
def | def | 11
DT | int | 11
ID | check | 11
( | ( | 11
) | ) | 11
{ | { | 11
try | try | 12
{ | { | 12
DT | int | 13
ID | a | 13
= | = | 13
int literal | 5 | 13
; | ; | 13
} | } | 14
catch | catch | 14
( | ( | 14
) | ) | 14
{ | { | 14
DT | int | 15
ID | a | 15
= | = | 15
int literal | 5 | 15
; | ; | 15
} | } | 16
finally | finally | 16
{ | { | 16
} | } | 18
list | list | 19
ID | check | 19
[ | [ | 19
int literal | 3 | 19
] | ] | 19
[ | [ | 19
int literal | 3 | 19
] | ] | 19
= | = | 19
[ | [ | 19
[ | [ | 19
int literal | 1 | 19
, | , | 19
int literal | 2 | 19
, | , | 19
int literal | 3 | 19
] | ] | 19
, | , | 19
[ | [ | 19
int literal | 1 | 19
, | , | 19
int literal | 2 | 19
, | , | 19
int literal | 3 | 19
] | ] | 19
, | , | 19
[ | [ | 19
int literal | 1 | 19
, | , | 19
int literal | 2 | 19
, | , | 19
int literal | 3 | 19
] | ] | 19
] | ] | 19
; | ; | 19
set | set | 20
DT | int | 20
ID | checkagain | 20
[ | [ | 20
int literal | 14 | 20
] | ] | 20
= | = | 20
{ | { | 20
int literal | 1 | 20
, | , | 20
int literal | 23 | 20
, | , | 20
int literal | 4 | 20
, | , | 20
int literal | 12 | 20
, | , | 20
int literal | 34 | 20
} | } | 20
; | ; | 20
break | break | 21
; | ; | 21
continue | continue | 22
; | ; | 22
this | this | 23
. | . | 23
ID | check | 23
[ | [ | 23
int literal | 2 | 23
] | ] | 23
= | = | 23
int literal | 5 | 23
; | ; | 23
this | this | 24
. | . | 24
ID | ID | 24
. | . | 24
ID | ID | 24
; | ; | 24
this | this | 25
. | . | 25
ID | ID | 25
= | = | 25
int literal | 15 | 25
; | ; | 25
this | this | 26
. | . | 26
ID | ID | 26
( | ( | 26
) | ) | 26
. | . | 26
ID | ID | 26
; | ; | 26
this | this | 27
. | . | 27
ID | ID | 27
[ | [ | 27
